group_key,user_count,user_ids
400001,4,"[44, 45, 47, 48]"
400333,2,"[13, 14]"
400077,1,[24]
403001,1,[26]
430001,1,[28]
110001,1,[2]
600001,1,"[1, 1]"
400006,1,[19]
